level,batch,PROLIFIC_PID,image_filename,image_basename,response,response_clean,ground_truth,trial_category,hard_correct,soft_correct,annotation,annotation_string,activation_89,activation_479,activation_355,activation_363,activation_297,activation_513,activation_967,activation_1116,activation_1157,activation_1424
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/australia_noisy_level1_4.jpg,australia_noisy_level1_4.jpg,0,"dog,animal",australia,experiment,False,False,"[""DOG"",""ANIMAL""]","DOG,ANIMAL",0.0,0.038971823,0.00044143494,0.041198295,0.0010844292,0.060598046,0.0026654843,0.024134465,0.37340537,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/fire_noisy_level1_2.jpg,fire_noisy_level1_2.jpg,0,"bonfire,fire",fire,experiment,True,True,"[""BONFIRE"",""FIRE""]","BONFIRE,FIRE",0.0,0.0029692003,0.009618739,0.023420354,0.27607232,0.12754466,0.009381966,0.014648329,0.26026472,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/droplets_noisy_level1_1.jpg,droplets_noisy_level1_1.jpg,0,"water,drops",droplets,experiment,False,True,"[""WATER"",""DROPS""]","WATER,DROPS",0.0,0.060822424,0.008602317,1.2443647,0.004716339,0.022817671,0.00014943694,0.00011122153,0.08134005,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/fire_noisy_level1_1.jpg,fire_noisy_level1_1.jpg,0,"fire,burning",fire,experiment,True,True,"[""FIRE"",""BURNING""]","FIRE,BURNING",0.002249444,0.0049417918,0.00066660217,0.055095848,2.3513262,0.115512356,0.013484486,0.08762119,0.60311,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/mushrooms_noisy_level1_3.jpg,mushrooms_noisy_level1_3.jpg,0,"sand,beach",mushrooms,experiment,False,False,"[""SAND"",""BEACH""]","SAND,BEACH",0.0,0.15794662,0.004773027,0.34607142,0.004571426,0.17255546,0.0,0.02112038,0.110450864,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/arabic_alphabet_noisy_level1_3.jpg,arabic_alphabet_noisy_level1_3.jpg,0,"meme,cat",arabic alphabet,experiment,False,False,"[""MEME"",""CAT""]","MEME,CAT",0.0042932797,0.3971246,0.0019237082,0.03551366,0.008312212,0.0115095675,0.07456644,0.08107999,0.11014141,0.0057496363
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/puppies_noisy_level1_3.jpg,puppies_noisy_level1_3.jpg,0,"dog,puppy",puppies,experiment,False,False,"[""DOG"",""PUPPY""]","DOG,PUPPY",0.0,0.05001748,0.00029125478,0.098564245,0.016522136,0.06556975,0.018059768,0.0052322582,0.10040453,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/raised_hand_noisy_level1_2.jpg,raised_hand_noisy_level1_2.jpg,0,"hand,human",raised hand,experiment,False,True,"[""HAND"",""HUMAN""]","HAND,HUMAN",0.027110662,0.023354284,0.027789278,0.026203638,0.0,0.05903509,0.16644989,0.6335654,0.26775214,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/puppies_noisy_level1_1.jpg,puppies_noisy_level1_1.jpg,0,"dogs,puppys",puppies,experiment,False,True,"[""DOGS"",""PUPPYS""]","DOGS,PUPPYS",0.0,0.03288776,0.019128269,0.032261543,0.012918873,0.01312333,0.024578148,0.0075605502,0.090937614,0.004789024
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/trump_noisy_level1_3.jpg,trump_noisy_level1_3.jpg,0,"trump,caricature",trump,experiment,True,True,"[""TRUMP"",""CARICATURE""]","TRUMP,CARICATURE",0.16512677,0.15203758,0.016476091,0.071156405,0.069712825,0.03870241,0.22466782,0.025633898,0.088319615,0.088769265
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/mushrooms_noisy_level1_1.jpg,mushrooms_noisy_level1_1.jpg,0,"mushroom,red",mushrooms,experiment,False,True,"[""MUSHROOM"",""RED""]","MUSHROOM,RED",0.0,0.034485154,0.0,0.039411623,0.0053197853,0.044774335,0.0,0.02161856,0.25771248,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/sailboat_noisy_level1_4.jpg,sailboat_noisy_level1_4.jpg,0,"sailboat,boat",sailboat,experiment,True,True,"[""SAILBOAT"",""BOAT""]","SAILBOAT,BOAT",0.0,0.122370765,0.004828827,0.7840818,0.026994605,0.049348466,0.081997365,0.008855743,0.40247402,0.0011705955
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/mushrooms_noisy_level1_4.jpg,mushrooms_noisy_level1_4.jpg,0,"fungus,mushrooms",mushrooms,experiment,True,True,"[""FUNGUS"",""MUSHROOMS""]","FUNGUS,MUSHROOMS",0.0,0.021882521,0.0059584733,0.0056774835,0.10394744,0.13208762,0.0,0.098546,0.40003535,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/trump_noisy_level1_4.jpg,trump_noisy_level1_4.jpg,0,"sign,trump",trump,experiment,True,True,"[""SIGN"",""TRUMP""]","SIGN,TRUMP",0.0,0.03317214,0.011695108,0.57828313,0.00075483025,0.13322513,0.0,0.003430969,0.41470027,0.0007204362
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/arabic_alphabet_noisy_level1_1.jpg,arabic_alphabet_noisy_level1_1.jpg,0,"letters,arab",arabic alphabet,experiment,False,True,"[""LETTERS"",""ARAB""]","LETTERS,ARAB",0.0,0.33341312,0.007849702,0.10042318,0.0036674002,0.05123938,0.0,0.0013820706,0.039441142,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/australia_noisy_level1_3.jpg,australia_noisy_level1_3.jpg,0,"map,australia",australia,experiment,True,True,"[""MAP"",""AUSTRALIA""]","MAP,AUSTRALIA",0.0,0.055102915,0.0,0.06326378,0.061406553,1.4102793,0.02374723,0.014367586,0.12258814,0.0007774712
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/droplets_noisy_level1_2.jpg,droplets_noisy_level1_2.jpg,0,"waterdrop,water",droplets,experiment,False,False,"[""WATERDROP"",""WATER""]","WATERDROP,WATER",0.0,0.023417782,0.0030335246,0.102207445,0.025988832,0.062428623,0.12469139,0.0013753029,0.24999472,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/australia_noisy_level1_1.jpg,australia_noisy_level1_1.jpg,0,"map,oceania",australia,experiment,False,False,"[""MAP"",""OCEANIA""]","MAP,OCEANIA",0.0,0.04103036,0.0053605665,0.76009613,0.0049827583,0.0089252535,0.0,0.0,0.004843994,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/fashion_model_noisy_level1_2.jpg,fashion_model_noisy_level1_2.jpg,0,"model,human",fashion model,experiment,False,True,"[""MODEL"",""HUMAN""]","MODEL,HUMAN",0.0,0.028330127,0.019783262,0.0,0.0060636364,0.041252177,0.103081435,0.0047766683,0.25922582,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/trump_noisy_level1_2.jpg,trump_noisy_level1_2.jpg,0,"person,trump",trump,experiment,True,True,"[""PERSON"",""TRUMP""]","PERSON,TRUMP",0.066434115,0.02688763,0.002007461,0.23121001,0.0012003272,0.021562004,0.0,0.0,0.04896086,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/arabic_alphabet_noisy_level1_2.jpg,arabic_alphabet_noisy_level1_2.jpg,0,"warning,tobacco",arabic alphabet,experiment,False,False,"[""WARNING"",""TOBACCO""]","WARNING,TOBACCO",0.0,0.031585775,0.006047718,0.048794437,0.006355902,0.060384456,0.005711152,0.010827873,0.1456415,0.0
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/mushrooms_noisy_level1_2.jpg,mushrooms_noisy_level1_2.jpg,0,"mushrooms,food",mushrooms,experiment,True,True,"[""MUSHROOMS"",""FOOD""]","MUSHROOMS,FOOD",0.0022179198,0.026101848,0.014703633,0.023757644,0.022855822,0.07505818,0.0,0.016950814,0.018854493,0.000927619
1,0,666aee5bad011123cf07422b,https://ernesto-interpretability.s3.us-east-1.amazonaws.com/EXPERIMENT_HUMAN_CORRELATION/level1/fire_noisy_level1_4.jpg,fire_noisy_level1_4.jpg,0,"fire,burning",fire,experiment,True,True,"[""FIRE"",""BURNING""]","FIRE,BURNING",0.0,0.08655366,0.010540201,0.057826314,0.38009137,0.2439539,0.0,0.0124622965,0.18978004,0.0
